PDS4 LID	PDS <Target_Identification> name	Other/provisional names	PDS <type> attribute	COMA objecttype
coma.1p	1P/1682 Q1 (Halley)	1P/1982 U1, 1986 III, 1982i, 1P/1909 R1, 1910 II, 1909c, 1P/1835 P1, 1835 III, 1P/1758 Y1, 1759 I, 1P/1607 S1, 1P/1531 P1, 1P/1456 K1, 1P/1378 S1, 1P/1301 R1, 1P/1222 R1, 1P/1145 G1, 1P/1066 G1, 1P/989 N1, 1P/912 J1, 1P/837 F1, 1P/760 K1, 1P/684 R1, 1P/607 H1, 1P/530 Q1, 1P/451 L1, 1P/374 E1, 1P/295 J1, 1P/218 H1, 1P/141 F1, 1P/66 B1, 1P/-11 Q1, 1P/-86 Q1, 1P/-163 U1, 1P/-239 K1	Comet	
coma.2p	2P/1818 W1 (Encke)	1994 V, 1990 XXI, 1987 XIII, 1984 VI, 1980 XI, 1977 XI, 1974 V, 1971 II, 1970l, 1967 XIII, 1967h, 1964 IV, 1963h, 1961 I, 1960i, 1957 VIII, 1957c, 1954 IX, 1953f, 1951 III, 1950e, 1947 XI, 1947i, 1941 V, 1941b, 1937 VI, 1937h, 1934 III, 1934a, 1931 II, 1931a, 1928 II, 1927h, 1924 III, 1924b, 1921 IV, 1921d, 1918 I, 1917c, 1914 VI, 1914d, 1911 III, 1911d, 1908 I, 1908b, 1905 I, 1904b, 1901 II, 1901b, 1898 III, 1898d, 1895 I, 1894d, 1891 III, 1891c, 1888 II, 1888b, 1885 I, 1884d, 1881 VII, 1881d, 1878 II, 1878c, 1875 II, 1875a, 1871 V, 1871c, 1868 III, 1865 II, 1862 I, 1858 VIII, 1855 III, 1852 I, 1848 II, 1845 IV, 1842 I, 1838, 1835 II, 1832 I, 1829, 1825 III, 2P/1822 L1, 1822 II, 1819 I, 2P/1805 U1, 2P/1795 V1, 2P/1786 B1, 1786 I	Comet	
coma.3d	3D/1826 D1 (Biela 1)	1852 III, 1846 II, 3D/1832 S1, 1832 III, 1826 I, 3D/1805 V1, 1806 I, 3D/1772 E1	Comet	
coma.4p	4P/1843 W1 (Faye)	1991 XXI, 1991n, 1984 XI, 1984h, 1977 IV, 1976i, 1969 VI, 1969a, 1962 VII, 1961c, 1955 II, 1954e, 1947 IX, 1947f, 1940 II, 1939m, 1932 IX, 1932l, 1925 V, 1925h, 1910 V, 1910e, 1896 II, 1895b, 1888 IV, 1888d, 1881 I, 1880c, 1873 III, 1873f, 1866 II, 1858 V, 4P/1850 W1, 1851 I, 1843 II	Comet	
coma.5d	5D/1846 D2 (Brorsen 1)	1879 I, 1879a, 1873 VI, 1873e, 1868 I, 5D/1857 F1, 1857 II, 1846 III	Comet	
coma.6p	6P/1851 M1 (d'Arrest)	dArrest, 1989 II, 1987k, 1982 VII, 1982e, 1976 XI, 1976e, 1970 VII, 1970d, 1963 VII, 1963f, 1950 II, 1950a, 1943 III, 1923 II, 1923b, 1910 III, 1910c, 1897 II, 1897a, 1890 V, 1890d, 1877 IV, 1877d, 1870 III, 1870c, 6P/1857 X1, 1857 VII, 1851 II, 6P/1678 R1	Comet	
coma.7p	7P/1858 E1 (Pons-Winnecke 1)	1989 VIII, 1989g, 1983 IV, 1983b, 1976 XIV, 1976f, 1970 VIII, 1970b, 1964 I, 1964b, 1951 VI, 1951c, 1945 IV, 1945a, 1939 V, 1939c, 1933 II, 1933b, 1927 VII, 1927c, 1921 III, 1921b, 1915 III, 1915b, 1909 II, 1909d, 1898 II, 1898a, 1892 IV, 1892c, 1886 VI, 1886d, 1875 I, 1875b, 7P/1869 G1, 1869 I, 1869a, 1858 II, 7P/1819 L1, 1819 III	Comet	
coma.8p	8P/1858 A1 (Tuttle 1)	1994 XV, 1992r, 1980 XIII, 1980h, 1967 V, 1967a, 1939 X, 1939k, 1926 IV, 1926a, 1912 IV, 1912b, 1899 III, 1899b, 1885 IV, 1885b, 8P/1871 T1, 1871 III, 1871d, 8P/1858 A1, 1858 I, 8P/1790 A2, 1790 II	Comet	
coma.9p	9P/1867 G1 (Tempel 1)	1994 XIX, 1993c, 1989 I, 1987e1, 1983 XI, 1982j, 1978 II, 1977i, 9P/1972 A1, 1972 V, 1972a, 9P/1967 L1, 1966 VII, 1879 III, 1879b, 9P/1873 G1, 1873 I, 1873a, 1867 II	Comet	
coma.10p	10P/1873 N1 (Tempel 2)	1994 VII, 1988 XIV, 1987g, 1983 X, 1982d, 1978 V, 1977d, 1972 X, 1972c, 1967 X, 1967d, 1962 VI, 1961b, 1957 II, 1956e, 1951 VIII, 1951d, 1946 III, 1946b, 1930 VII, 1930f, 1925 IV, 1925d, 1920 II, 1920a, 1915 I, 1915c, 1904 III, 1904c, 1899 IV, 1899c, 1894 III, 1894c, 10P/1878 O1, 1878 III, 1878b, 1873 II, 1873b	Comet	
